WEEK_START_DATE,YEAR,QUARTER,MONTH,WEEK_OF_YEAR,REGION,PRODUCT,CUSTOMER_SEGMENT,DEMAND_UNITS,REVENUE,AVG_TEMPERATURE_F,ECONOMIC_INDEX,HOUSING_STARTS,IS_HOLIDAY_WEEK,IS_WINTER,IS_SPRING,IS_SUMMER,IS_FALL
2022-01-03,2022,Q1,1,1,CO_Rocky_Mountains,Cold_Climate_Heat_Pump,B2B,59,476425.0,2.5,69.3,156,0,1,0,0,0
2022-01-03,2022,Q1,1,1,CO_Rocky_Mountains,Cold_Climate_Heat_Pump,B2G,35,273700.0,2.5,69.3,156,0,1,0,0,0
2022-01-03,2022,Q1,1,1,CO_Rocky_Mountains,Cold_Climate_Heat_Pump,B2C,141,1198500.0,2.5,69.3,156,0,1,0,0,0
2022-01-03,2022,Q1,1,1,CO_Rocky_Mountains,Variable_Gas_Furnace,B2B,68,290700.0,2.5,69.3,156,0,1,0,0,0
2022-01-03,2022,Q1,1,1,CO_Rocky_Mountains,Variable_Gas_Furnace,B2G,45,186300.0,2.5,69.3,156,0,1,0,0,0
2022-01-03,2022,Q1,1,1,CO_Rocky_Mountains,Variable_Gas_Furnace,B2C,113,508500.0,2.5,69.3,156,0,1,0,0,0
2022-01-03,2022,Q1,1,1,CO_Rocky_Mountains,Standard_Air_Handler,B2B,22,58520.0,2.5,69.3,156,0,1,0,0,0
2022-01-03,2022,Q1,1,1,CO_Rocky_Mountains,Standard_Air_Handler,B2G,16,41216.0,2.5,69.3,156,0,1,0,0,0
2022-01-03,2022,Q1,1,1,CO_Rocky_Mountains,Standard_Air_Handler,B2C,26,72800.0,2.5,69.3,156,0,1,0,0,0
2022-01-03,2022,Q1,1,1,CO_Rocky_Mountains,High_Altitude_Air_Handler,B2B,26,86450.0,2.5,69.3,156,0,1,0,0,0
2022-01-03,2022,Q1,1,1,CO_Rocky_Mountains,High_Altitude_Air_Handler,B2G,20,64400.0,2.5,69.3,156,0,1,0,0,0
2022-01-03,2022,Q1,1,1,CO_Rocky_Mountains,High_Altitude_Air_Handler,B2C,20,70000.0,2.5,69.3,156,0,1,0,0,0
2022-01-03,2022,Q1,1,1,CO_Rocky_Mountains,Replacement_Parts,B2B,171,56857.5,2.5,69.3,156,0,1,0,0,0
2022-01-03,2022,Q1,1,1,CO_Rocky_Mountains,Replacement_Parts,B2G,114,36708.0,2.5,69.3,156,0,1,0,0,0
